disease,disease_id,donor,region_id,region,broad_score,stringent_score,weighted_score,n_broad_genes_observed,n_stringent_genes_observed,n_weighted_genes_observed
Migraine,migraine,9861,66,Parietal Inf R,0.5389437584681469,0.562629733719104,0.5508721099300224,167,41,167
Migraine,migraine,9861,67,SupraMarginal L,0.4481983772023145,0.4468749092592162,0.4555176837928918,167,41,167
Migraine,migraine,9861,68,SupraMarginal R,0.5098149459632305,0.49034890333177794,0.5011493871406787,167,41,167
Migraine,migraine,9861,69,Angular L,0.5140615367398151,0.5136926154827807,0.519726166774698,167,41,167
Migraine,migraine,9861,70,Angular R,0.47780488764868456,0.4560063714085155,0.473493059584656,167,41,167
Migraine,migraine,9861,71,Precuneus L,0.5208171225778728,0.5161909517337737,0.516401334031186,167,41,167
Migraine,migraine,9861,72,Precuneus R,0.4856429459723674,0.4702461009897705,0.48098149649876787,167,41,167
Migraine,migraine,9861,73,Paracentral Lobule L,0.5066363759699067,0.48905338908933643,0.49353260476522864,167,41,167
Migraine,migraine,9861,74,Paracentral Lobule R,0.4749592204470519,0.4682782229524838,0.4609803171725293,167,41,167
Migraine,migraine,9861,75,Caudate L,0.5400057851578169,0.5394984857207539,0.5401227733838727,167,41,167
Migraine,migraine,9861,76,Caudate R,0.5361190325444457,0.5289104549693902,0.5367627763783279,167,41,167
Migraine,migraine,9861,77,Putamen L,0.5034432727312519,0.49310381823102295,0.5041077115743607,167,41,167
Migraine,migraine,9861,78,Putamen R,0.4955597571009558,0.4785354573963868,0.4910174481992519,167,41,167
Migraine,migraine,9861,79,Pallidum L,0.5313902541652273,0.5282072503632049,0.5321795446683175,167,41,167
Migraine,migraine,9861,80,Pallidum R,0.5552396513357042,0.5436532859448636,0.5485696616777116,167,41,167
Migraine,migraine,9861,83,Heschl L,0.5109832824214493,0.5524395363141779,0.528628791415333,167,41,167
Migraine,migraine,9861,84,Heschl R,0.5007272230304656,0.5369364953141575,0.5213354722129367,167,41,167
Migraine,migraine,9861,85,Temporal Sup L,0.5135550635374508,0.5153057821284741,0.5129381391174795,167,41,167
Migraine,migraine,9861,86,Temporal Sup R,0.474996790750921,0.4643700590039131,0.46979314578442677,167,41,167
Migraine,migraine,9861,87,Temporal Pole Sup L,0.5176165395782356,0.47875484478877234,0.5019105671677105,167,41,167
Migraine,migraine,9861,88,Temporal Pole Sup R,0.49995345656944834,0.5000509853779536,0.5019628046600038,167,41,167
Migraine,migraine,9861,89,Temporal Mid L,0.5102374220045703,0.5025952489273663,0.5062493350992326,167,41,167
Migraine,migraine,9861,90,Temporal Mid R,0.5100258748917261,0.47704889894375957,0.4979409118715092,167,41,167
Migraine,migraine,9861,91,Temporal Pole Mid L,,,,0,0,0
Migraine,migraine,9861,93,Temporal Inf L,0.5063189788591985,0.49118790486764485,0.501707106988911,167,41,167
Migraine,migraine,9861,94,Temporal Inf R,0.5101299460641593,0.49422094634709496,0.5041415423859958,167,41,167
Migraine,migraine,9861,95,Cerebellum Crus1 L,0.4665527868743367,0.4649247665828597,0.47623650705013226,167,41,167
Migraine,migraine,9861,96,Cerebellum Crus1 R,0.5593377540735482,0.5662863842939986,0.5596663108592603,167,41,167
Migraine,migraine,9861,97,Cerebellum Crus2 L,0.5133355265732888,0.4945195226561,0.5124870593573594,167,41,167
Migraine,migraine,9861,98,Cerebellum Crus2 R,0.5501974602094142,0.5350546529699914,0.5421933310149373,167,41,167
Migraine,migraine,9861,101,Cerebellum 4 5 L,0.5332237675110668,0.5391286908299198,0.5482665291632778,167,41,167
Migraine,migraine,9861,102,Cerebellum 4 5 R,0.5476962132883971,0.5954002099707301,0.573705128487235,167,41,167
Migraine,migraine,9861,103,Cerebellum 6 L,0.5582064898143755,0.6193650473575191,0.5774406281030569,167,41,167
Migraine,migraine,9861,104,Cerebellum 6 R,0.4533117686828337,0.45947440872626466,0.46517683384728986,167,41,167
Migraine,migraine,9861,105,Cerebellum 7b L,0.5169093645105731,0.4800035199407403,0.50875542311082,167,41,167
Migraine,migraine,9861,106,Cerebellum 7b R,0.5387452523086443,0.5748016165122064,0.5549499999756895,167,41,167
Migraine,migraine,9861,107,Cerebellum 8 L,0.5429705966247245,0.5508948377946118,0.5493935236414534,167,41,167
Migraine,migraine,9861,108,Cerebellum 8 R,0.5602713644668835,0.5885067598623939,0.570353616400946,167,41,167
Migraine,migraine,9861,109,Cerebellum 9 L,0.46415186946382875,0.4169991580036822,0.461073881342203,167,41,167
Migraine,migraine,9861,110,Cerebellum 9 R,0.4932113902405556,0.5005365222264387,0.5047692050830943,167,41,167
Migraine,migraine,9861,111,Cerebellum 10 L,,,,0,0,0
Migraine,migraine,9861,118,Vermis 8,0.4958201800465139,0.5332314869836162,0.5095286770831947,167,41,167
Migraine,migraine,9861,119,Vermis 9,0.47550061966418133,0.5077789973197412,0.4787605815190549,167,41,167
Migraine,migraine,9861,121,Thal AV L,0.5536599664728927,0.545370159549467,0.5538471422535668,167,41,167
Migraine,migraine,9861,122,Thal AV R,0.48824239221761584,0.5332594926931322,0.503369270361609,167,41,167
Migraine,migraine,9861,125,Thal VA L,0.5551540914575407,0.5411995120054109,0.5417198073929043,167,41,167
Migraine,migraine,9861,127,Thal VL L,0.5146037936693585,0.5233379428194139,0.5240073018863569,167,41,167
Migraine,migraine,9861,128,Thal VL R,0.5188433957941443,0.5002944697456856,0.5152094880566798,167,41,167
Migraine,migraine,9861,129,Thal VPL L,0.5095725364177667,0.5306533278657929,0.5110800020101969,167,41,167
Migraine,migraine,9861,130,Thal VPL R,0.5332645111912343,0.556816408474173,0.540373770801851,167,41,167
Migraine,migraine,9861,131,Thal IL L,0.5372592805874208,0.5511892027942157,0.5406358067634482,167,41,167
Migraine,migraine,9861,135,Thal MDm L,0.39032685609143275,0.4280634501628832,0.4103553839827267,167,41,167
Migraine,migraine,9861,136,Thal MDm R,0.5007753990493058,0.4751113637676818,0.4971736959881928,167,41,167
Migraine,migraine,9861,137,Thal MDl L,0.5172425841082948,0.5498926765040947,0.5193730251302269,167,41,167
Migraine,migraine,9861,139,Thal LGN L,0.4947811876738344,0.5335262267376475,0.506187147495101,167,41,167
Migraine,migraine,9861,140,Thal LGN R,0.5320981563294689,0.5301689528123283,0.5375741504252616,167,41,167
Migraine,migraine,9861,141,Thal MGN L,0.5568987917508951,0.560438797551185,0.5589091408596141,167,41,167
Migraine,migraine,9861,143,Thal PuI L,0.5814083658818794,0.6295220903119944,0.5915083755804221,167,41,167
Migraine,migraine,9861,144,Thal PuI R,0.5706524773974028,0.6251882887378065,0.5912412550641793,167,41,167
Migraine,migraine,9861,145,Thal PuM L,0.5688557875308536,0.6188652022736523,0.581984334259063,167,41,167
Migraine,migraine,9861,146,Thal PuM R,0.5134315026296681,0.5314818260236489,0.5178267903305198,167,41,167
